Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
01/01/2012,8,9.825,14,58
02/01/2012,7,7.4375,12,
03/01/2012,8,5.5375,18,63
04/01/2012,4,5.6875,19,80
05/01/2012,6,5.3,23,80
06/01/2012,3,2.625,10,
07/01/2012,7,6.528571,14,61
08/01/2012,7,5.9625,10,80
09/01/2012,8,5.15,12,61
10/01/2012,6,6.1125,10,
11/01/2012,6,7.8625,16,51
12/01/2012,7,7.4375,25,61
13/01/2012,2,4.8,18,
14/01/2012,3,2.8875,10,
15/01/2012,1,2.225,6,
16/01/2012,8,3.0625,6,61
17/01/2012,6,4.4875,10,
18/01/2012,7,2.35,12,51
19/01/2012,8,5.2625,16,80
20/01/2012,6,3.4375,12,26
21/01/2012,7,3.5375,16,68
22/01/2012,6,3.7875,12,21
23/01/2012,5,2.2125,4,10
24/01/2012,3,1.7625,6,
25/01/2012,3,-0.1875,8,
26/01/2012,2,0.3625,12,
27/01/2012,8,-1,10,71
28/01/2012,6,-1.3875,10,10
29/01/2012,7,-3.1625,8,71
30/01/2012,3,-2.275,12,
31/01/2012,1,-2.375,18,
01/02/2012,7,-1.825,16,71
02/02/2012,6,-5.85,8,85
03/02/2012,4,-5.85,14,3
04/02/2012,4,-7.5375,10,71
05/02/2012,5,-7.7125,8,
06/02/2012,4,-10.25,6,10
07/02/2012,6,-3,18,71
08/02/2012,6,-2.7625,10,
09/02/2012,6,-1.6625,21,3
10/02/2012,6,-2.8125,8,71
11/02/2012,7,-4.575,8,78
12/02/2012,8,-1.2375,16,72
13/02/2012,6,-2.325,8,10
14/02/2012,8,1.3,10,47
15/02/2012,1,4.8625,18,
16/02/2012,7,2.9625,10,61
17/02/2012,5,5.5625,14,
18/02/2012,8,6.175,14,61
19/02/2012,4,4.2,18,25
20/02/2012,5,4.1125,14,
21/02/2012,8,4.95,14,58
22/02/2012,7,7.175,18,51
23/02/2012,6,8.4125,18,
24/02/2012,7,8.35,19,20
25/02/2012,6,6.525,19,61
26/02/2012,1,4.675,8,
27/02/2012,8,3.725,12,61
28/02/2012,8,7.675,14,51
29/02/2012,8,7.775,10,47
01/03/2012,6,7.625,12,43
02/03/2012,7,5.9125,6,28
03/03/2012,5,7.0375,14,
04/03/2012,7,4.675,8,
05/03/2012,7,4.875,10,
06/03/2012,4,4.5125,10,
07/03/2012,7,4.05,10,61
08/03/2012,2,7.5125,14,
09/03/2012,8,7.825,14,10
10/03/2012,6,8.7,19,10
11/03/2012,6,8.95,14,
12/03/2012,5,9.0125,18,
13/03/2012,6,9.95,16,1
14/03/2012,7,7.7875,10,
15/03/2012,6,7.4,8,
16/03/2012,3,12.0375,14,10
17/03/2012,6,9.775,14,10
18/03/2012,7,9.8375,16,61
19/03/2012,4,8.1125,18,
20/03/2012,7,8.0875,18,51
21/03/2012,5,12.625,16,
22/03/2012,0,12.7625,6,2
23/03/2012,0,13.4875,6,
24/03/2012,5,7.8375,8,10
25/03/2012,0,13.1375,10,1
26/03/2012,7,8.4875,8,51
27/03/2012,4,15.5,10,
28/03/2012,3,14.8375,18,5
29/03/2012,6,8.9875,19,21
30/03/2012,3,9.9625,18,1
31/03/2012,4,6.1125,19,61
01/04/2012,7,6.525,19,25
02/04/2012,7,5.5875,16,
03/04/2012,7,3.3,10,22
04/04/2012,7,4.5875,18,21
